"Device_ID","Device_Type","Operating_System","Department","Vulnerability","Threat","Attack","CPU_Usage","Memory_Usage","Network_Traffic","Failed_Logins","Open_Ports","Patch_Level","Firewall","Antivirus","User_Behaviour_Score","Risk_Score","Compromised"
"DEV0001","Server","Windows","HR","Remote Code Execution","Ransomware","Brute Force",71.27,79.88,246.6,5,13,"Updated","Enabled","Installed",71.83,30,"No"
"DEV0002","Server","Android","HR","SQL Injection","Malware","DDoS",67.4,64.49,64.5,2,16,"Updated","Enabled","Installed",52.52,79,"No"
"DEV0003","Server","Linux","Finance","Cross-Site Scripting","Insider Threat","Phishing",31.16,54.34,377.07,1,20,"Outdated","Enabled","Not Installed",61.85,63,"No"
"DEV0004","Desktop","macOS","Finance","Weak Password","Malware","Brute Force",47.95,92.37,143.28,19,1,"Outdated","Disabled","Installed",70.03,9,"No"
"DEV0005","Server","Linux","HR","Unpatched Software","APT","Brute Force",71.77,97.06,105.15,18,20,"Updated","Disabled","Not Installed",97.42,10,"No"
"DEV0006","Desktop","macOS","Admin","Unpatched Software","Ransomware","Phishing",71.71,62,454.01,16,9,"Outdated","Enabled","Not Installed",93.13,15,"Yes"
"DEV0007","Desktop","Windows","HR","Privilege Escalation","APT","Brute Force",49.37,67.66,76.72,11,19,"Outdated","Disabled","Not Installed",82,56,"No"
"DEV0008","Desktop","Android","Finance","Firewall Misconfiguration","Malware","Brute Force",47.95,77.53,415.65,8,5,"Outdated","Disabled","Not Installed",77.34,98,"Yes"
"DEV0009","Server","Linux","Admin","Outdated Antivirus","Insider Threat","DDoS",49.49,45.05,359.44,20,13,"Updated","Enabled","Installed",96.59,13,"Yes"
"DEV0010","Laptop","macOS","HR","Firewall Misconfiguration","Ransomware","DDoS",93.58,90.7,287.99,18,22,"Updated","Disabled","Installed",73.12,18,"Yes"
"DEV0011","IoT Device","Windows","HR","Firewall Misconfiguration","Insider Threat","Brute Force",80.79,37.02,476.37,11,2,"Outdated","Enabled","Installed",76.49,52,"Yes"
"DEV0012","Desktop","Android","Finance","Open Port","Insider Threat","Brute Force",31.54,63.06,258.79,20,16,"Outdated","Enabled","Installed",52.62,63,"Yes"
"DEV0013","Desktop","Linux","IT","Open Port","Malware","Phishing",46.76,94.18,156.82,2,20,"Outdated","Enabled","Installed",85.44,53,"No"
"DEV0014","Laptop","macOS","Sales","Cross-Site Scripting","Insider Threat","Brute Force",39.55,18.65,184.87,15,3,"Outdated","Disabled","Not Installed",89.37,92,"No"
"DEV0015","Desktop","Linux","HR","Remote Code Execution","APT","DDoS",32.98,24.31,160.76,16,20,"Outdated","Disabled","Installed",87.21,38,"No"
"DEV0016","Server","Windows","Sales","Weak Password","Insider Threat","DDoS",97.83,50.27,258.29,6,16,"Updated","Disabled","Not Installed",89.69,26,"Yes"
"DEV0017","IoT Device","macOS","Finance","Buffer Overflow","Ransomware","Brute Force",29.16,75.7,127.94,17,10,"Outdated","Disabled","Not Installed",41.11,84,"Yes"
"DEV0018","Laptop","macOS","HR","Open Port","Ransomware","Phishing",25.65,80.99,158.65,9,21,"Outdated","Enabled","Installed",62.43,64,"No"
"DEV0019","Server","Android","IT","Buffer Overflow","APT","DDoS",79.86,74.17,469.04,19,13,"Updated","Enabled","Installed",88.39,52,"Yes"
"DEV0020","Server","Android","IT","Cross-Site Scripting","Ransomware","DDoS",30.75,27.92,173.35,6,12,"Outdated","Enabled","Not Installed",86.8,100,"Yes"
"DEV0021","Laptop","macOS","Admin","Unpatched Software","Malware","Brute Force",20.79,38.52,157.77,19,25,"Updated","Enabled","Installed",81.86,69,"No"
"DEV0022","IoT Device","Windows","Finance","Cross-Site Scripting","APT","Phishing",88.5,46.09,482.39,6,12,"Updated","Enabled","Not Installed",64.27,82,"Yes"
"DEV0023","Laptop","Android","IT","Privilege Escalation","Insider Threat","Phishing",47.07,92.83,140.53,12,10,"Outdated","Enabled","Installed",86.93,60,"Yes"
"DEV0024","Laptop","macOS","Admin","Unpatched Software","Malware","Phishing",59.26,42.25,406.83,14,25,"Updated","Disabled","Installed",75.05,6,"Yes"
"DEV0025","Laptop","Linux","Admin","Firewall Misconfiguration","Ransomware","Phishing",65.76,33.87,144.81,8,8,"Outdated","Enabled","Installed",71.78,50,"No"
"DEV0026","Server","Linux","Finance","Remote Code Execution","Ransomware","Brute Force",29.01,15.81,498.06,19,14,"Updated","Enabled","Not Installed",87.73,65,"Yes"
"DEV0027","IoT Device","Linux","HR","Buffer Overflow","Malware","Phishing",26.77,55.86,175.23,9,24,"Outdated","Enabled","Not Installed",71.33,30,"Yes"
"DEV0028","Desktop","macOS","IT","Buffer Overflow","Insider Threat","Brute Force",89.37,80.59,418.27,15,23,"Updated","Enabled","Not Installed",82.8,73,"Yes"
"DEV0029","Server","Windows","Sales","Weak Password","Ransomware","Brute Force",60.22,69.02,173.76,0,4,"Outdated","Enabled","Installed",56.53,21,"No"
"DEV0030","Desktop","Windows","Sales","Outdated Antivirus","Insider Threat","Brute Force",59.43,28.4,241.29,10,14,"Outdated","Enabled","Installed",53.55,38,"No"
"DEV0031","Laptop","Linux","Sales","Cross-Site Scripting","Ransomware","Phishing",79.89,97.16,377.55,6,14,"Updated","Enabled","Not Installed",40.83,57,"Yes"
"DEV0032","Desktop","Linux","Sales","Cross-Site Scripting","APT","DDoS",33.84,22.37,339.07,5,6,"Outdated","Disabled","Installed",78.84,18,"Yes"
"DEV0033","Server","Android","Finance","Unpatched Software","Insider Threat","DDoS",22.72,75.65,328.36,8,2,"Updated","Enabled","Installed",47.3,39,"Yes"
"DEV0034","IoT Device","macOS","Finance","Privilege Escalation","Insider Threat","Phishing",66.85,34.62,317.1,10,2,"Outdated","Enabled","Installed",57.98,48,"No"
"DEV0035","Desktop","Linux","Sales","Cross-Site Scripting","APT","DDoS",35,94.54,357.13,0,4,"Updated","Disabled","Installed",68.18,77,"No"
"DEV0036","Laptop","Linux","Admin","Cross-Site Scripting","APT","Phishing",35.4,39.68,454.09,19,6,"Updated","Disabled","Not Installed",65.47,27,"No"
"DEV0037","Server","Windows","HR","Buffer Overflow","Ransomware","DDoS",96.88,34.35,168.93,4,7,"Updated","Enabled","Installed",47.89,41,"Yes"
"DEV0038","Server","macOS","Finance","Cross-Site Scripting","Ransomware","DDoS",32.98,65.83,215.91,0,12,"Outdated","Disabled","Not Installed",51.01,32,"No"
"DEV0039","Laptop","Windows","Finance","Firewall Misconfiguration","APT","DDoS",40.51,18.36,394.53,17,10,"Updated","Enabled","Not Installed",54.9,36,"Yes"
"DEV0040","IoT Device","macOS","Sales","Open Port","Insider Threat","Phishing",66.98,19.89,489.29,19,21,"Updated","Disabled","Not Installed",69.42,37,"No"
"DEV0041","Server","macOS","Sales","Buffer Overflow","Ransomware","DDoS",33.36,82.49,50.53,2,1,"Outdated","Disabled","Installed",85.8,32,"Yes"
"DEV0042","IoT Device","macOS","HR","Remote Code Execution","APT","Phishing",71.54,25.92,156.24,17,3,"Updated","Disabled","Installed",88.51,89,"No"
"DEV0043","Desktop","macOS","HR","Cross-Site Scripting","Insider Threat","Phishing",35.64,19.29,441.62,5,3,"Outdated","Enabled","Installed",84.36,61,"No"
"DEV0044","Laptop","Linux","Finance","Outdated Antivirus","Malware","Brute Force",62.56,39.29,247.25,0,5,"Outdated","Enabled","Installed",62.64,61,"Yes"
"DEV0045","Server","Linux","Finance","Cross-Site Scripting","APT","Phishing",46.56,22.45,310.64,5,21,"Updated","Enabled","Installed",69.78,6,"Yes"
"DEV0046","Laptop","Android","Finance","Open Port","APT","Brute Force",66.13,57.79,252.51,17,21,"Updated","Disabled","Not Installed",85.87,84,"Yes"
"DEV0047","Laptop","Android","Admin","Buffer Overflow","Insider Threat","DDoS",65.9,75.53,204.22,13,8,"Outdated","Enabled","Not Installed",92.57,27,"Yes"
"DEV0048","Desktop","Android","Admin","SQL Injection","Ransomware","DDoS",42.2,85.84,235.97,12,3,"Updated","Disabled","Installed",67.54,16,"Yes"
"DEV0049","Server","Windows","Sales","Firewall Misconfiguration","APT","Brute Force",39.27,54.65,357.26,8,24,"Updated","Enabled","Installed",77.95,10,"Yes"
"DEV0050","Server","Windows","HR","Weak Password","Malware","Phishing",92.29,39.8,483.03,20,10,"Updated","Disabled","Not Installed",82.72,7,"No"
"DEV0051","IoT Device","Android","Admin","Unpatched Software","APT","DDoS",66.39,81.53,99.79,0,4,"Outdated","Enabled","Not Installed",65.42,9,"Yes"
"DEV0052","Laptop","Android","Finance","Outdated Antivirus","APT","DDoS",58.81,66.63,165.93,7,12,"Outdated","Enabled","Not Installed",43.6,48,"No"
"DEV0053","Server","Android","Sales","SQL Injection","APT","Phishing",80.69,91.7,168.56,7,3,"Updated","Disabled","Installed",75.02,62,"No"
"DEV0054","Laptop","macOS","HR","Unpatched Software","Insider Threat","Brute Force",23.52,87.34,372.35,17,5,"Updated","Disabled","Installed",85.67,97,"No"
"DEV0055","Server","Linux","Admin","Cross-Site Scripting","Malware","Phishing",70.53,83,294.56,18,8,"Outdated","Enabled","Installed",51.35,70,"Yes"
"DEV0056","IoT Device","Windows","Finance","Buffer Overflow","Insider Threat","DDoS",69.96,15.24,72.19,8,17,"Updated","Enabled","Not Installed",55.44,92,"Yes"
"DEV0057","Desktop","Linux","IT","Weak Password","APT","Brute Force",81.87,68.86,76.59,11,11,"Updated","Enabled","Installed",63.82,87,"No"
"DEV0058","Laptop","Linux","HR","Buffer Overflow","Ransomware","Phishing",51.92,49.01,111.69,12,23,"Outdated","Disabled","Installed",59.84,10,"Yes"
"DEV0059","Desktop","Android","HR","Outdated Antivirus","Ransomware","Phishing",36.93,73.89,267.78,0,21,"Updated","Disabled","Installed",44.22,22,"No"
"DEV0060","Laptop","Linux","Admin","Cross-Site Scripting","Malware","Brute Force",71.43,80.63,407.51,18,9,"Updated","Disabled","Not Installed",76.14,35,"Yes"
"DEV0061","Laptop","Android","Finance","Firewall Misconfiguration","APT","DDoS",56.09,61.28,268.48,17,9,"Outdated","Disabled","Not Installed",60.17,50,"Yes"
"DEV0062","IoT Device","Windows","HR","Remote Code Execution","Insider Threat","Brute Force",64.71,50.4,119,7,9,"Updated","Enabled","Not Installed",81.31,97,"No"
"DEV0063","IoT Device","macOS","Finance","Remote Code Execution","Malware","DDoS",79.74,94.37,225.57,17,12,"Outdated","Disabled","Not Installed",97.48,10,"No"
"DEV0064","Server","macOS","Admin","Unpatched Software","Malware","Phishing",31.04,79.18,279.92,7,13,"Outdated","Disabled","Installed",58.61,43,"No"
"DEV0065","Laptop","Linux","Finance","Cross-Site Scripting","Malware","Brute Force",61.75,58.23,94.09,7,3,"Updated","Disabled","Not Installed",65.79,57,"Yes"
"DEV0066","Desktop","Linux","IT","Outdated Antivirus","Malware","Phishing",30.1,50.3,134.47,7,2,"Updated","Enabled","Installed",49.06,11,"No"
"DEV0067","Laptop","Linux","IT","Outdated Antivirus","Insider Threat","Brute Force",66.74,80.59,445.26,20,1,"Updated","Enabled","Installed",61.68,47,"Yes"
"DEV0068","Laptop","Windows","Finance","Firewall Misconfiguration","APT","Brute Force",36.61,81.73,209.63,9,9,"Outdated","Enabled","Not Installed",54.63,91,"No"
"DEV0069","Server","macOS","HR","Unpatched Software","APT","Brute Force",61.62,29.41,80.93,4,5,"Outdated","Enabled","Installed",96.72,23,"No"
"DEV0070","Laptop","Windows","Finance","Cross-Site Scripting","Ransomware","DDoS",88.53,61.83,118.34,19,20,"Outdated","Disabled","Not Installed",46.16,45,"No"
"DEV0071","Desktop","Linux","Admin","Open Port","Insider Threat","Brute Force",65.81,57.8,81.42,18,18,"Updated","Enabled","Installed",55.36,63,"Yes"
"DEV0072","Laptop","macOS","IT","Open Port","APT","Phishing",74.1,44.91,265.05,5,17,"Outdated","Disabled","Not Installed",92.16,55,"Yes"
"DEV0073","Server","Android","Sales","Open Port","APT","Phishing",59.21,16.9,176.03,11,14,"Updated","Enabled","Not Installed",45.8,40,"Yes"
"DEV0074","Laptop","Windows","Admin","Remote Code Execution","APT","DDoS",96.51,59.64,293.06,4,9,"Outdated","Disabled","Not Installed",78.9,25,"Yes"
"DEV0075","Server","Windows","Admin","Cross-Site Scripting","Malware","DDoS",30.86,61.08,472.71,19,9,"Outdated","Enabled","Not Installed",79.26,14,"No"
"DEV0076","Desktop","Linux","Finance","Buffer Overflow","Insider Threat","DDoS",53.21,42.19,208.61,1,12,"Outdated","Enabled","Not Installed",69.71,89,"Yes"
"DEV0077","IoT Device","Android","Admin","Open Port","Ransomware","Phishing",65.53,20.67,294.15,14,1,"Outdated","Disabled","Installed",77.51,71,"Yes"
"DEV0078","Server","macOS","IT","Weak Password","APT","Brute Force",70.33,91.23,60.93,6,14,"Updated","Disabled","Installed",49.01,54,"No"
"DEV0079","IoT Device","Windows","HR","Unpatched Software","Ransomware","Brute Force",45.95,52.11,321.08,13,7,"Updated","Enabled","Installed",50.57,74,"No"
"DEV0080","IoT Device","Linux","Admin","Cross-Site Scripting","Ransomware","Brute Force",87.45,89.06,200.33,14,21,"Updated","Enabled","Installed",88.3,37,"No"
"DEV0081","Desktop","Android","Finance","Outdated Antivirus","Malware","Phishing",93.96,48.62,236.52,14,11,"Updated","Enabled","Installed",51.99,63,"Yes"
"DEV0082","Desktop","Windows","HR","Privilege Escalation","Insider Threat","DDoS",91.98,71.75,58.75,2,14,"Outdated","Enabled","Not Installed",74.52,72,"No"
"DEV0083","Server","Windows","Sales","Unpatched Software","APT","Brute Force",43.86,84.26,323.04,16,10,"Updated","Disabled","Installed",66.03,43,"No"
"DEV0084","IoT Device","macOS","IT","Buffer Overflow","Insider Threat","Phishing",63.36,44.28,148.2,14,25,"Updated","Disabled","Not Installed",42.53,24,"No"
"DEV0085","Desktop","Android","Sales","Open Port","Insider Threat","DDoS",64.84,36.61,381.51,1,14,"Updated","Disabled","Not Installed",54.71,100,"No"
"DEV0086","Desktop","macOS","Finance","Firewall Misconfiguration","Ransomware","Brute Force",86.13,38.88,346.59,1,5,"Outdated","Disabled","Installed",60.95,80,"No"
"DEV0087","Server","macOS","Finance","SQL Injection","APT","DDoS",21.94,36.02,392.16,6,16,"Updated","Enabled","Not Installed",91.55,21,"Yes"
"DEV0088","Server","macOS","HR","Open Port","APT","DDoS",65.85,30.78,176.18,2,9,"Outdated","Enabled","Installed",62.5,60,"Yes"
"DEV0089","IoT Device","macOS","Admin","SQL Injection","Ransomware","Phishing",40.4,17.01,461.64,14,5,"Outdated","Disabled","Not Installed",85.81,69,"Yes"
"DEV0090","Laptop","Linux","Admin","Unpatched Software","Ransomware","DDoS",75.27,37.27,103.55,6,21,"Outdated","Enabled","Installed",62.37,98,"Yes"
"DEV0091","Desktop","macOS","Sales","Open Port","Insider Threat","Brute Force",36.3,75.8,148.22,16,20,"Updated","Disabled","Not Installed",40.01,26,"No"
"DEV0092","Desktop","Linux","Admin","Unpatched Software","Malware","Phishing",34.28,48.33,399.22,1,7,"Outdated","Disabled","Not Installed",70.72,89,"No"
"DEV0093","Laptop","macOS","Admin","Weak Password","Insider Threat","Phishing",91.28,86.53,246.73,16,20,"Outdated","Enabled","Installed",63.45,53,"No"
"DEV0094","Desktop","Linux","IT","Buffer Overflow","Malware","DDoS",56.94,68.69,82.83,5,23,"Updated","Disabled","Installed",79.16,27,"Yes"
"DEV0095","IoT Device","macOS","Admin","Open Port","Insider Threat","Brute Force",55.2,49.08,347.18,9,6,"Outdated","Disabled","Not Installed",64.25,40,"Yes"
"DEV0096","Laptop","Linux","Admin","Open Port","Malware","DDoS",66.99,96.46,121.38,2,18,"Updated","Disabled","Not Installed",93.04,55,"Yes"
