"Device_ID","Device_Type","Operating_System","Department","Vulnerability","Threat","Attack","CPU_Usage","Memory_Usage","Network_Traffic","Failed_Logins","Open_Ports","Patch_Level","Firewall","Antivirus","User_Behaviour_Score","Risk_Score","Compromised","Attack_Probability","Attack_Result","Infection_Level","Threat_Severity"
"DEV0001",4,4,3,7,4,1,0.641118916206724,0.781848861034109,0.436500344804574,0.25,0.5,2,2,1,0.531484883915149,0.292929292929293,1,0.42,"Blocked","Low","Low"
"DEV0002",4,1,3,8,3,2,0.592574009031611,0.59636013016753,0.0314105843881387,0.1,0.625,2,2,1,0.208952730916987,0.787878787878788,1,0.79,"Successful","Medium","High"
"DEV0003",4,2,2,2,2,3,0.137982940291019,0.474026756659033,0.726736814005739,0.05,0.791666666666667,1,2,2,0.364790379154836,0.626262626262626,1,0.51,"Blocked","Low","High"
"DEV0004",1,3,2,10,3,1,0.348595082789764,0.932385199469688,0.206660289635842,0.95,0,1,1,1,0.501419742776015,0.0808080808080808,1,0.86,"Successful","High","Low"
"DEV0005",4,2,3,9,1,1,0.647390868038134,0.988911654814993,0.121838364514048,0.9,0.791666666666667,2,1,2,0.958910973776516,0.0909090909090909,1,0.91,"Successful","High","Low"
"DEV0006",1,3,1,9,4,3,0.646638233818364,0.566349282873328,0.897893355282184,0.8,0.333333333333333,1,2,2,0.887255720728245,0.141414141414141,2,0.23,"Blocked","Medium","Low"
"DEV0007",1,4,3,6,1,1,0.366407425990968,0.634566710859347,0.0585945320668253,0.55,0.75,1,1,2,0.701352931351261,0.555555555555556,1,0.6,"Blocked","High","Medium"
"DEV0008",1,1,2,3,3,1,0.348595082789764,0.753525370615885,0.812559784663982,0.4,0.166666666666667,1,1,2,0.623517621513279,0.97979797979798,2,0.87,"Successful","Low","Critical"
"DEV0009",4,2,1,5,2,2,0.367912694430507,0.362058575388695,0.687518074433297,1,0.5,2,2,1,0.945047603140137,0.121212121212121,2,0.61,"Successful","Low","Low"
"DEV0010",3,3,3,3,4,2,0.920973406924235,0.912257442449078,0.528574288701533,0.9,0.875,2,1,1,0.553031568398196,0.171717171717172,2,0.54,"Blocked","Medium","Low"
"DEV0011",2,4,3,3,2,1,0.760536879076769,0.26527660600217,0.947634195715525,0.55,0.0416666666666667,1,2,1,0.609320193753132,0.515151515151515,2,0.92,"Successful","Medium","Medium"
