"Asset_ID","Resource_Type","Resource_Name","Open_Ports","Risk_Score","Criticality","Dependency_Count","Public_Access","IAM_Risk"
"ASSET-001","S3","Cloud-Resource 1",14,40,"High",3,"Yes","Medium"
"ASSET-002","Lambda","Cloud-Resource 2",12,39,"Medium",12,"Yes","High"
"ASSET-003","S3","Cloud-Resource 3",1,73,"Critical",12,"Yes","Medium"
"ASSET-004","RDS","Cloud-Resource 4",0,23,"Low",4,"No","High"
"ASSET-005","RDS","Cloud-Resource 5",8,80,"High",6,"No","Low"
"ASSET-006","Lambda","Cloud-Resource 6",10,76,"Critical",12,"No","Low"
"ASSET-007","S3","Cloud-Resource 7",8,32,"Critical",0,"Yes","Low"
"ASSET-008","VPC","Cloud-Resource 8",5,88,"High",7,"Yes","Low"
"ASSET-009","IAM","Cloud-Resource 9",4,94,"High",7,"No","Low"
"ASSET-010","Lambda","Cloud-Resource 10",14,46,"Critical",9,"No","High"
"ASSET-011","Lambda","Cloud-Resource 11",8,17,"Low",8,"Yes","Low"
"ASSET-012","EC2","Cloud-Resource 12",14,60,"Critical",7,"No","Low"
"ASSET-013","RDS","Cloud-Resource 13",9,83,"Medium",1,"Yes","High"
"ASSET-014","S3","Cloud-Resource 14",11,59,"Medium",12,"Yes","High"
"ASSET-015","VPC","Cloud-Resource 15",14,83,"Critical",4,"No","Medium"
"ASSET-016","S3","Cloud-Resource 16",15,95,"Low",8,"Yes","Low"
"ASSET-017","S3","Cloud-Resource 17",3,85,"Critical",6,"Yes","Low"
"ASSET-018","EC2","Cloud-Resource 18",13,93,"Critical",6,"Yes","Low"
"ASSET-019","IAM","Cloud-Resource 19",5,55,"Medium",9,"No","Medium"
"ASSET-020","EC2","Cloud-Resource 20",10,26,"High",12,"Yes","Low"
"ASSET-021","EC2","Cloud-Resource 21",7,71,"Critical",11,"No","Medium"
"ASSET-022","VPC","Cloud-Resource 22",5,55,"Critical",9,"Yes","Low"
"ASSET-023","S3","Cloud-Resource 23",5,63,"Critical",7,"No","Low"
"ASSET-024","RDS","Cloud-Resource 24",6,44,"High",5,"No","High"
"ASSET-025","RDS","Cloud-Resource 25",14,88,"Low",6,"No","High"
"ASSET-026","EC2","Cloud-Resource 26",15,33,"Critical",9,"No","Medium"
"ASSET-027","Lambda","Cloud-Resource 27",0,96,"Critical",10,"Yes","Medium"
"ASSET-028","S3","Cloud-Resource 28",5,16,"Critical",0,"Yes","Low"
"ASSET-029","IAM","Cloud-Resource 29",1,88,"Medium",8,"Yes","High"
"ASSET-030","Lambda","Cloud-Resource 30",0,32,"Low",12,"No","Low"
"ASSET-031","EC2","Cloud-Resource 31",1,35,"Medium",12,"Yes","Low"
"ASSET-032","S3","Cloud-Resource 32",3,41,"High",2,"Yes","Medium"
"ASSET-033","VPC","Cloud-Resource 33",12,16,"Critical",9,"No","Low"
"ASSET-034","IAM","Cloud-Resource 34",4,36,"High",4,"Yes","Medium"
"ASSET-035","RDS","Cloud-Resource 35",5,51,"Low",5,"Yes","Medium"
"ASSET-036","VPC","Cloud-Resource 36",14,14,"High",12,"No","Medium"
"ASSET-037","EC2","Cloud-Resource 37",2,79,"Critical",10,"Yes","Medium"
"ASSET-038","EC2","Cloud-Resource 38",8,25,"Medium",10,"No","High"
"ASSET-039","RDS","Cloud-Resource 39",3,33,"Low",8,"No","High"
"ASSET-040","S3","Cloud-Resource 40",5,41,"Low",3,"No","High"
"ASSET-041","IAM","Cloud-Resource 41",8,30,"Medium",9,"Yes","High"
"ASSET-042","VPC","Cloud-Resource 42",15,64,"High",6,"Yes","Low"
"ASSET-043","VPC","Cloud-Resource 43",13,84,"Low",8,"Yes","High"
"ASSET-044","S3","Cloud-Resource 44",8,45,"Medium",6,"Yes","High"
"ASSET-045","Lambda","Cloud-Resource 45",6,92,"Medium",9,"No","High"
"ASSET-046","EC2","Cloud-Resource 46",2,98,"Low",3,"Yes","Medium"
"ASSET-047","RDS","Cloud-Resource 47",7,48,"Critical",12,"Yes","High"
"ASSET-048","VPC","Cloud-Resource 48",15,63,"Critical",7,"Yes","High"
"ASSET-049","VPC","Cloud-Resource 49",13,99,"Critical",8,"Yes","High"
"ASSET-050","IAM","Cloud-Resource 50",11,18,"Medium",8,"No","Low"
